"CPI Average Price Data, U.S. city average (AP)",,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,APU0000704111,,,,,,,,,,,
Series Title:,"Bacon, sliced, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,
Item:,"Bacon, sliced, per lb. (453.6 gm)",,,,,,,,,,,
Years:,1980 to 2023,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,1.453,1.410,1.361,1.323,1.266,1.271,1.371,1.469,1.617,1.641,1.684,1.711
1981,1.668,1.638,1.596,1.530,1.548,1.601,1.665,1.693,1.753,1.780,1.766,1.751
1982,1.747,1.811,1.824,1.894,1.982,2.070,2.101,2.200,2.360,2.334,2.186,2.128
1983,2.123,2.147,2.072,2.003,1.951,1.910,1.918,1.876,1.914,1.857,1.773,1.758
1984,1.812,1.881,1.803,1.798,1.817,1.832,1.901,1.902,1.889,1.895,1.867,1.890
1985,1.952,1.966,1.956,1.948,1.928,1.894,1.951,1.960,1.926,1.945,1.932,1.918
1986,1.935,1.956,1.892,1.871,1.869,1.953,2.157,2.332,2.373,2.298,2.187,2.159
1987,2.118,2.091,2.095,2.076,2.112,2.126,2.231,2.284,2.280,2.193,2.071,2.020
1988,1.954,1.940,1.919,1.907,1.900,1.904,1.908,1.879,1.835,1.860,1.802,1.792
1989,1.805,1.799,1.787,1.747,1.680,1.692,1.710,1.721,1.716,1.768,1.820,1.956
1990,1.966,2.009,1.991,1.979,2.044,2.147,2.210,2.243,2.176,2.208,2.242,2.283
1991,2.257,2.301,2.318,2.271,2.311,2.305,2.309,2.219,2.160,2.121,2.071,1.994
1992,1.957,1.954,1.922,1.915,1.904,1.926,1.937,1.938,1.925,1.892,1.850,1.863
1993,1.874,1.840,1.802,1.892,1.910,1.949,1.955,1.954,1.982,1.988,2.008,2.018
1994,2.041,2.019,2.017,2.063,2.016,1.985,2.000,1.987,1.973,1.965,1.917,1.892
1995,1.930,1.930,1.910,1.890,1.918,1.896,1.906,1.968,2.042,2.117,2.155,2.166
1996,2.138,2.203,2.202,2.242,2.345,2.493,2.542,2.682,2.809,2.721,2.656,2.642
1997,2.664,2.651,2.657,2.660,2.627,2.694,2.718,2.755,2.750,2.730,2.665,2.607
1998,2.644,2.623,2.539,2.444,2.438,2.457,2.517,2.513,2.576,2.567,2.619,2.580
1999,2.523,2.520,2.507,2.445,2.474,2.504,2.503,2.543,2.580,2.570,2.658,2.752
2000,2.750,2.871,2.928,2.953,3.006,3.132,3.168,3.200,3.209,3.069,3.053,3.028
2001,2.994,3.065,3.159,3.114,3.256,3.253,3.324,3.468,3.487,3.338,3.297,3.300
2002,3.271,3.317,3.266,3.257,3.182,3.193,3.231,3.269,3.155,3.240,3.211,3.242
2003,3.195,3.281,3.216,3.287,3.086,3.136,3.155,3.229,3.219,3.161,3.228,3.182
2004,3.157,3.189,3.129,3.196,3.330,3.420,3.470,3.622,3.589,3.606,3.438,3.369
2005,3.367,3.395,3.355,3.331,3.560,3.457,3.478,3.442,3.404,3.327,3.262,3.327
2006,3.364,3.385,3.396,3.343,3.309,3.399,3.508,3.559,3.552,3.610,3.444,3.458
2007,3.510,3.566,3.464,3.496,3.651,3.657,3.723,3.798,3.784,3.883,3.656,3.688
2008,3.652,3.620,3.623,3.554,3.637,3.655,3.605,3.842,3.725,3.745,3.597,3.670
2009,3.730,3.620,3.590,3.581,3.663,3.621,3.640,3.588,3.592,3.603,3.498,3.570
2010,3.630,3.642,3.669,3.643,3.862,4.046,4.213,4.353,4.574,4.773,4.697,4.160
2011,4.250,4.366,4.537,4.662,4.770,4.840,4.755,4.770,4.819,4.586,4.637,4.550
2012,4.571,4.655,4.600,4.533,4.385,4.326,4.365,4.609,4.692,4.661,4.640,4.639
2013,4.722,4.831,4.909,4.887,5.092,5.334,5.494,5.618,5.680,5.708,5.615,5.544
2014,5.563,5.461,5.552,5.690,6.048,6.106,6.009,6.068,5.953,5.759,5.574,5.531
2015,5.589,5.472,5.367,5.211,4.940,5.059,5.184,5.410,5.734,5.899,5.847,5.734
2016,5.656,5.394,5.494,5.613,5.552,5.374,5.454,5.448,5.481,5.375,5.106,5.102
2017,5.180,5.334,5.745,5.775,5.699,5.665,5.819,6.241,6.366,6.066,5.708,5.629
2018,5.654,5.533,5.527,5.421,5.452,5.247,5.418,5.577,5.501,5.370,5.392,5.502
2019,5.518,5.502,5.608,5.552,5.812,5.878,5.701,5.576,5.571,5.653,5.505,5.474
2020,5.505,5.497,5.257,5.346,5.348,5.772,5.776,5.559,5.619,5.722,5.754,5.831
2021,5.831,5.778,5.852,6.215,6.346,6.670,6.857,7.096,7.220,7.317,7.265,7.211
2022,7.222,7.097,7.203,7.422,7.364,7.403,7.415,7.372,7.383,7.608,7.243,6.956
2023,6.808,6.595,6.613,6.549,6.339,6.224,6.236,,,,,
