CPI for All Urban Consumers (CPI-U),,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Series Id:,CUUR0000SA0E,,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,,
Series Title:,"Energy in U.S. city average, all urban consumers, not seasonally adjusted",,,,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,,,
Item:,Energy,,,,,,,,,,,,,
Base Period:,1982-84=100,,,,,,,,,,,,,
Years:,1990 to 2023,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
1990,97.6,96.4,95.5,95.7,96.7,99.5,98.9,103.6,108.8,111.4,110.9,110.1,96.9,107.3
1991,107.1,102.8,99.7,99.5,102.1,103.5,102.7,102.9,103.6,101.8,101.8,101.9,102.5,102.5
1992,100.1,99.0,98.9,99.5,102.4,105.9,106.0,105.4,105.9,104.5,104.5,103.9,101.0,105.0
1993,103.4,102.2,102.5,103.1,104.4,106.5,105.8,105.2,105.2,105.4,103.7,102.4,103.7,104.6
1994,101.3,102.0,101.9,102.0,102.9,105.7,106.8,108.5,108.2,105.8,105.7,104.7,102.6,106.6
1995,104.2,103.7,103.2,103.9,106.3,109.3,108.1,107.4,106.2,104.5,102.8,103.3,105.1,105.4
1996,105.0,104.9,106.1,110.0,112.9,113.1,112.5,111.6,111.7,110.5,111.1,112.2,108.7,111.6
1997,113.3,113.1,111.2,110.0,109.9,112.3,111.4,112.5,113.9,111.5,110.7,108.4,111.6,111.4
1998,105.9,103.2,101.6,101.9,103.8,105.7,105.2,103.8,102.7,101.3,100.5,98.9,103.7,102.1
1999,98.1,97.3,98.4,105.0,105.6,106.8,108.7,111.3,113.2,111.6,111.2,112.2,101.9,111.4
2000,112.5,116.7,122.2,120.7,121.0,129.6,129.7,125.9,130.6,129.3,129.0,128.1,120.5,128.8
2001,132.5,132.0,129.5,133.1,140.1,140.5,132.4,129.4,132.5,122.1,116.0,111.4,134.6,124.0
2002,111.7,111.0,115.6,122.2,122.9,124.9,125.5,125.8,126.1,125.8,125.3,123.3,118.1,125.3
2003,127.5,135.4,142.6,138.1,134.0,136.5,136.8,140.6,144.6,136.9,133.1,131.8,135.7,137.3
2004,137.4,140.6,143.1,145.9,154.1,159.7,156.3,155.3,154.3,157.7,158.6,153.7,146.8,156.0
2005,151.9,155.2,160.8,170.9,169.4,171.4,178.5,186.6,208.0,204.3,187.6,180.0,163.3,190.8
2006,189.5,186.4,188.6,201.4,209.3,211.3,215.1,214.7,199.1,181.3,180.4,185.2,197.8,196.0
2007,183.567,184.451,196.929,207.265,219.071,221.088,217.274,209.294,209.637,207.588,219.009,217.506,202.062,213.385
2008,219.465,219.311,230.505,240.194,257.106,275.621,280.833,266.283,258.020,231.561,189.938,171.158,240.367,232.965
2009,174.622,178.741,177.454,179.704,186.909,205.408,201.938,204.971,202.243,199.198,204.026,202.301,183.806,202.446
2010,208.026,204.455,209.999,212.977,214.363,211.660,212.372,212.663,210.003,210.947,211.970,217.953,210.247,212.651
2011,223.266,226.860,242.516,253.495,260.376,254.170,252.661,251.706,250.480,240.902,238.177,232.300,243.447,244.371
2012,236.942,242.663,253.599,255.736,250.306,244.167,239.972,250.306,256.332,250.523,238.946,233.473,247.235,244.925
2013,234.624,248.146,249.565,244.757,247.805,251.921,251.370,250.011,248.513,238.524,233.136,234.542,246.136,242.683
2014,239.551,242.041,250.543,252.717,255.982,259.858,257.907,250.951,247.077,234.745,221.844,209.785,250.115,237.052
2015,192.619,196.597,204.731,203.715,214.330,220.861,219.852,213.248,201.641,194.501,189.267,183.378,205.476,200.315
2016,180.171,172.061,179.017,185.652,192.673,200.035,195.940,193.524,195.852,194.786,191.402,193.306,184.935,194.135
2017,199.608,198.195,198.597,202.869,203.132,204.646,202.554,205.894,215.711,207.290,209.383,206.598,201.175,207.905
2018,210.663,213.519,212.554,218.830,226.810,229.137,227.107,226.939,226.165,225.757,215.910,205.905,218.586,221.297
2019,200.563,202.740,211.724,222.499,225.773,221.373,222.492,216.978,215.418,216.351,214.636,212.982,214.112,216.476
2020,213.043,208.354,199.573,183.081,183.076,193.379,197.665,197.362,198.858,196.458,194.388,198.155,196.751,197.148
2021,205.273,213.277,225.861,229.116,235.339,240.720,244.800,246.639,248.228,255.338,259.100,256.207,224.931,251.719
2022,260.653,267.771,298.246,298.469,316.761,340.917,325.407,305.372,297.343,300.359,292.953,274.937,297.136,299.395
2023,283.330,281.673,279.084,283.352,279.816,283.854,284.828,,,,,,281.852,
