CPI for All Urban Consumers (CPI-U),,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Series Id:,CUUR0000SETB01,,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,,
Series Title:,"Gasoline (all types) in U.S. city average, all urban consumers, not seasonally adjusted",,,,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,,,
Item:,Gasoline (all types),,,,,,,,,,,,,
Base Period:,1982-84=100,,,,,,,,,,,,,
Years:,1990 to 2023,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
1990,90.6,90.2,89.1,91.0,92.4,94.6,94.4,103.1,111.8,118.7,118.8,117.0,91.3,110.6
1991,108.0,99.3,94.2,95.9,100.2,100.6,98.2,99.3,99.8,98.2,99.1,98.1,99.7,98.8
1992,94.3,92.7,93.2,94.8,99.4,103.0,102.9,101.8,101.8,101.5,102.2,100.1,96.2,101.7
1993,98.5,97.8,97.1,98.2,99.6,99.6,98.0,96.9,95.9,99.2,97.8,94.2,98.5,97.0
1994,92.1,93.0,92.7,94.3,95.6,97.9,100.4,104.1,103.6,101.7,102.6,100.2,94.3,102.1
1995,98.4,97.7,97.2,99.3,104.2,106.3,103.7,101.0,99.7,98.0,96.0,96.0,100.5,99.1
1996,98.2,97.8,101.1,108.2,113.3,111.0,108.8,106.1,105.7,105.2,107.1,107.9,104.9,106.8
1997,107.9,107.4,105.8,105.4,105.2,105.4,103.5,107.4,109.2,106.5,104.1,101.3,106.2,105.3
1998,97.2,93.5,90.3,91.1,94.2,94.3,93.2,91.1,89.5,90.3,89.2,85.7,93.4,89.8
1999,84.5,83.1,85.8,100.4,100.8,98.6,101.9,107.2,109.7,109.4,108.7,111.5,92.2,108.1
2000,111.9,117.3,130.9,127.9,127.6,138.3,135.4,127.7,134.3,132.3,132.2,127.0,125.7,131.5
2001,125.8,126.8,123.3,132.8,146.0,141.3,124.9,121.2,130.7,115.6,103.8,95.4,132.7,115.3
2002,97.2,97.6,107.1,120.8,120.8,119.5,120.3,120.9,121.1,123.9,123.8,119.1,110.5,121.5
2003,125.7,139.7,147.4,139.9,130.6,129.5,130.0,138.4,146.5,136.0,130.6,127.2,135.5,134.8
2004,136.1,142.5,149.8,155.3,169.8,172.7,164.5,161.2,160.5,172.2,171.0,160.4,154.4,165.0
2005,155.6,163.4,175.0,192.9,187.3,184.6,196.5,211.7,248.5,235.9,198.6,186.2,176.5,212.9
2006,198.2,197.0,204.7,234.4,249.8,247.3,254.6,253.2,219.0,192.7,190.3,198.1,221.9,218.0
2007,192.806,194.282,219.473,241.897,264.830,259.686,251.883,237.108,237.993,237.819,260.943,256.790,228.829,247.089
2008,259.338,257.845,276.497,291.910,319.787,344.981,347.357,321.511,313.535,266.382,184.235,146.102,291.726,263.187
2009,154.488,166.118,167.826,176.704,193.727,225.526,217.945,225.179,220.542,218.683,227.665,224.260,180.731,222.379
2010,233.727,227.198,237.356,244.347,246.080,234.214,234.091,235.110,231.819,239.527,244.345,255.319,237.154,240.035
2011,264.979,270.822,302.574,325.282,336.999,317.543,312.760,311.269,309.018,295.877,292.486,280.713,303.033,300.354
2012,290.762,305.076,329.780,335.742,323.604,303.747,295.498,316.859,329.898,322.934,298.131,285.606,314.785,308.154
2013,286.417,315.243,319.523,307.814,310.352,312.212,310.886,309.355,305.299,290.306,280.742,282.773,308.594,296.560
2014,286.607,289.814,304.464,315.335,317.434,318.334,313.514,300.640,294.222,275.729,251.172,223.404,305.331,276.447
2015,185.142,194.883,215.442,215.461,238.170,244.226,243.736,230.513,207.239,199.077,190.701,179.496,215.554,208.460
2016,171.574,154.564,170.356,185.808,198.011,206.681,195.243,189.375,193.817,197.357,192.522,195.915,181.166,194.038
2017,206.360,201.957,204.217,212.424,209.441,205.881,201.173,209.000,231.182,218.591,224.227,216.781,206.713,216.826
2018,223.806,227.420,226.872,240.962,255.096,255.885,252.232,251.367,252.216,253.793,235.381,212.152,238.340,242.857
2019,201.194,206.749,225.282,248.499,254.551,242.043,244.000,233.625,231.496,235.168,232.575,228.857,229.720,234.287
2020,227.010,218.373,202.205,168.891,168.528,185.422,194.397,194.449,195.888,192.792,187.609,193.990,195.072,193.188
2021,207.406,221.689,247.652,252.603,263.170,268.979,275.656,277.448,278.338,288.501,296.571,290.185,243.583,284.450
2022,290.416,305.959,366.499,362.802,391.262,430.142,396.952,348.593,328.918,339.017,326.649,285.757,357.847,337.648
2023,294.759,299.774,302.673,318.482,314.116,316.258,318.071,,,,,,307.677,
