"CPI Average Price Data, U.S. city average (AP)",,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,APU00007471A,,,,,,,,,,,
Series Title:,"Gasoline, all types, per gallon/3.785 liters in U.S. city average, average price, not seasonally adjusted",,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,
Item:,"Gasoline, all types, per gallon/3.785 liters",,,,,,,,,,,
Years:,1980 to 2023,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,1.110,1.186,1.230,1.242,1.244,1.246,1.247,1.243,1.231,1.223,1.222,1.231
1981,1.269,1.353,1.388,1.381,1.370,1.362,1.353,1.348,1.358,1.353,1.351,1.348
1982,1.341,1.318,1.268,1.210,1.224,1.296,1.318,1.310,1.292,1.280,1.268,1.244
1983,1.214,1.170,1.135,1.198,1.243,1.261,1.272,1.269,1.257,1.239,1.224,1.215
1984,1.200,1.193,1.194,1.211,1.221,1.214,1.197,1.184,1.189,1.195,1.193,1.179
1985,1.145,1.128,1.155,1.199,1.223,1.233,1.233,1.222,1.209,1.198,1.201,1.203
1986,1.190,1.119,0.983,0.895,0.927,0.958,0.895,0.848,0.864,0.837,0.827,0.830
1987,0.868,0.911,0.918,0.940,0.948,0.966,0.980,1.004,1.000,0.988,0.987,0.975
1988,0.947,0.928,0.920,0.946,0.970,0.971,0.984,1.004,0.992,0.976,0.972,0.953
1989,0.944,0.955,0.974,1.098,1.152,1.150,1.132,1.096,1.073,1.071,1.046,1.030
1990,1.090,1.086,1.076,1.096,1.114,1.140,1.139,1.246,1.347,1.431,1.432,1.410
1991,1.304,1.198,1.138,1.159,1.209,1.214,1.185,1.196,1.199,1.180,1.193,1.182
1992,1.135,1.117,1.122,1.143,1.197,1.239,1.237,1.221,1.222,1.219,1.223,1.201
1993,1.182,1.172,1.163,1.175,1.193,1.194,1.174,1.163,1.151,1.193,1.178,1.136
1994,1.109,1.114,1.109,1.128,1.143,1.169,1.199,1.243,1.237,1.212,1.222,1.203
1995,1.190,1.181,1.173,1.197,1.256,1.281,1.252,1.222,1.206,1.185,1.161,1.160
1996,1.186,1.181,1.219,1.305,1.378,1.354,1.328,1.298,1.293,1.287,1.308,1.318
1997,1.318,1.312,1.293,1.288,1.284,1.286,1.263,1.310,1.334,1.300,1.271,1.236
1998,1.186,1.137,1.097,1.106,1.146,1.148,1.134,1.108,1.091,1.099,1.086,1.046
1999,1.031,1.014,1.048,1.232,1.233,1.204,1.244,1.309,1.334,1.329,1.319,1.353
2000,1.356,1.422,1.594,1.561,1.552,1.666,1.642,1.559,1.635,1.613,1.608,1.544
2001,1.525,1.538,1.503,1.617,1.812,1.731,1.565,1.509,1.609,1.442,1.324,1.200
2002,1.209,1.210,1.324,1.493,1.508,1.489,1.496,1.508,1.507,1.535,1.534,1.477
2003,1.557,1.686,1.791,1.704,1.587,1.558,1.567,1.671,1.771,1.646,1.578,1.538
2004,1.635,1.715,1.809,1.875,2.050,2.083,1.982,1.941,1.934,2.072,2.053,1.926
2005,1.866,1.960,2.107,2.325,2.257,2.218,2.357,2.548,2.969,2.830,2.387,2.230
2006,2.359,2.354,2.444,2.801,2.993,2.963,3.046,3.033,2.637,2.319,2.287,2.380
2007,2.321,2.333,2.639,2.909,3.176,3.100,3.013,2.833,2.839,2.843,3.118,3.069
2008,3.096,3.083,3.307,3.491,3.813,4.115,4.142,3.838,3.749,3.225,2.208,1.742
2009,1.838,1.979,2.000,2.107,2.314,2.681,2.594,2.677,2.626,2.613,2.709,2.671
2010,2.779,2.709,2.829,2.906,2.915,2.783,2.783,2.795,2.754,2.843,2.899,3.031
2011,3.139,3.215,3.594,3.863,3.982,3.753,3.703,3.680,3.664,3.521,3.475,3.329
2012,3.447,3.622,3.918,3.976,3.839,3.602,3.502,3.759,3.908,3.839,3.542,3.386
2013,3.407,3.748,3.792,3.647,3.682,3.693,3.687,3.658,3.616,3.434,3.310,3.333
2014,3.378,3.422,3.590,3.717,3.745,3.750,3.690,3.540,3.463,3.241,2.945,2.618
2015,2.170,2.308,2.544,2.545,2.832,2.889,2.893,2.745,2.463,2.357,2.249,2.125
2016,2.034,1.833,2.021,2.196,2.324,2.422,2.287,2.218,2.269,2.304,2.246,2.289
2017,2.409,2.360,2.386,2.479,2.448,2.400,2.344,2.436,2.688,2.545,2.608,2.521
2018,2.596,2.632,2.631,2.795,2.963,2.970,2.930,2.919,2.930,2.945,2.733,2.479
2019,2.352,2.412,2.620,2.894,2.963,2.814,2.836,2.716,2.694,2.741,2.687,2.652
2020,2.631,2.530,2.334,1.946,1.946,2.141,2.243,2.245,2.260,2.228,2.159,2.235
2021,2.391,2.559,2.856,2.907,3.041,3.245,3.326,3.351,3.361,3.477,3.576,3.505
2022,3.500,3.675,4.401,4.369,4.695,5.149,4.768,4.205,3.990,4.130,3.958,3.459
2023,3.555,3.622,3.660,3.839,3.794,3.821,3.842,,,,,
