"CPI Average Price Data, U.S. city average (AP)",,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,APU0000711311,,,,,,,,,,,
Series Title:,"Oranges, Navel, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,
Item:,"Oranges, Navel, per lb. (453.6 gm)",,,,,,,,,,,
Years:,1980 to 2023,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,0.339,0.337,0.352,0.349,0.360,,,,,,,0.451
1981,0.400,0.399,0.392,0.398,0.368,0.387,,,,,,0.390
1982,0.402,0.425,0.433,0.447,,,,,,,,0.458
1983,0.390,0.384,0.386,0.395,0.387,0.400,,,,,,0.368
1984,0.368,0.349,0.364,0.371,0.417,,,,,,0.572,0.523
1985,0.526,0.525,0.505,0.528,0.614,,,,,,,0.499
1986,0.483,0.452,0.451,0.463,0.499,,,,,,0.519,0.498
1987,,,0.499,0.491,0.529,,,,,,0.678,0.519
1988,0.501,0.496,0.496,0.504,0.599,,,,,,,0.562
1989,0.521,0.464,0.471,0.511,0.534,,,,,,0.585,0.528
1990,0.501,0.580,0.570,0.560,0.578,0.621,,,,,0.585,0.563
1991,0.823,0.930,,,,,,,,,0.731,0.652
1992,0.643,0.616,0.563,0.537,0.573,,,,,,0.571,0.516
1993,0.514,0.506,0.506,0.521,0.549,,,,,,0.694,0.556
1994,0.505,0.496,0.520,0.549,0.618,,,,,,0.578,0.552
1995,0.575,0.585,0.571,0.606,0.650,,,,,,0.742,0.643
1996,0.561,0.559,0.565,0.620,0.716,,,,,,0.707,0.593
1997,0.555,0.554,0.546,0.598,0.706,,,,,,0.642,0.583
1998,0.525,0.507,0.505,0.571,0.672,,,,,,,0.608
1999,0.830,0.889,0.869,0.944,,,,,,,0.884,0.641
2000,0.607,0.586,0.572,0.573,0.638,0.699,,,,,0.725,0.624
2001,0.638,0.660,0.646,0.735,0.793,,,,,,0.867,0.713
2002,0.715,0.759,0.710,0.751,0.849,,,,,1.163,0.998,0.742
2003,0.713,0.711,0.728,0.742,0.800,0.875,,,,1.141,0.971,0.862
2004,0.793,0.725,0.730,0.744,0.770,0.878,,,1.142,,1.080,0.865
2005,0.838,0.802,0.783,0.816,0.899,1.012,,,1.363,1.388,1.172,0.885
2006,0.837,0.915,0.888,0.876,0.990,1.119,1.270,,1.483,1.423,1.200,0.958
2007,1.092,1.375,1.301,1.243,1.268,1.321,,1.500,1.503,1.542,1.079,0.905
2008,0.905,0.887,0.898,0.931,1.008,1.136,1.291,1.452,1.471,1.428,1.055,0.934
2009,0.896,0.912,0.889,0.910,0.963,1.060,1.191,1.222,1.255,1.262,1.113,0.932
2010,0.899,0.870,0.858,0.871,0.952,1.096,1.149,1.242,1.302,1.281,1.200,1.021
2011,1.052,0.989,0.957,0.926,0.916,1.014,1.078,1.268,1.438,1.386,1.142,0.983
2012,0.929,0.852,0.850,0.910,0.968,1.032,1.127,1.283,1.296,1.254,1.102,1.035
2013,0.991,0.998,0.988,0.981,1.048,1.147,1.287,1.377,1.334,1.328,1.201,1.129
2014,1.118,1.146,1.212,1.261,1.342,1.299,1.390,1.467,1.486,1.508,1.352,1.246
2015,1.195,1.185,1.201,1.165,1.208,1.274,1.380,1.493,1.480,1.514,1.329,1.229
2016,1.196,1.194,1.188,1.176,1.148,1.186,1.268,1.365,1.410,1.412,1.239,1.169
2017,1.186,1.191,1.180,1.174,1.226,1.346,1.462,1.453,1.480,1.590,1.486,1.315
2018,1.326,1.339,1.305,1.291,1.348,1.409,1.538,1.559,1.511,1.502,1.437,1.389
2019,1.344,1.298,1.346,1.280,1.331,1.296,1.411,1.442,1.426,1.470,1.429,1.327
2020,1.244,1.218,1.174,,1.209,1.296,,,,,,1.329
2021,1.303,1.321,1.266,1.320,1.317,1.354,,,,1.490,1.440,1.448
2022,1.427,1.445,1.480,1.505,1.546,1.600,,1.703,1.730,1.730,1.641,1.485
2023,1.514,1.549,1.509,1.530,1.512,1.535,1.591,,,,,
