"CPI Average Price Data, U.S. city average (AP)",,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,APU0000701312,,,,,,,,,,,
Series Title:,"Rice, white, long grain, uncooked, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,
Item:,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",,,,,,,,,,,
Years:,1980 to 2023,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,0.484,0.488,0.489,0.511,0.510,0.521,0.523,0.518,0.517,0.519,0.520,0.539
1981,0.551,0.554,0.563,0.572,0.575,0.572,0.574,0.577,0.567,0.556,0.550,0.545
1982,0.545,0.547,0.516,0.504,0.508,0.499,0.496,0.494,0.491,0.488,0.487,0.482
1983,0.486,0.473,0.468,0.470,0.468,0.469,0.475,0.468,0.475,0.473,0.474,0.479
1984,0.484,0.485,0.476,0.471,0.471,0.477,0.484,0.479,0.478,0.480,0.479,0.472
1985,0.475,0.472,0.476,0.475,0.472,0.467,0.471,0.473,0.473,0.468,0.466,0.450
1986,0.456,0.455,0.453,0.453,0.451,0.446,0.453,0.443,0.434,0.436,0.432,0.434
1987,0.416,0.411,0.394,0.398,0.395,0.393,0.391,0.403,0.395,0.395,0.405,0.422
1988,0.446,0.462,0.468,0.488,0.497,0.492,0.507,0.506,0.503,0.475,0.485,0.484
1989,0.489,0.495,0.488,0.482,0.485,0.486,0.514,0.509,0.520,0.513,0.497,0.504
1990,0.501,0.476,0.502,0.497,0.496,0.494,0.494,0.497,0.505,0.497,0.507,0.491
1991,0.494,0.492,0.498,0.502,0.502,0.506,0.503,0.494,0.506,0.508,0.517,0.510
1992,0.516,0.515,0.515,0.522,0.524,0.520,0.540,0.537,0.542,0.543,0.536,0.525
1993,0.526,0.530,0.525,0.522,0.518,0.518,0.527,0.507,0.494,0.495,0.490,0.495
1994,0.515,0.543,0.556,0.575,0.562,0.555,0.566,0.546,0.534,0.534,0.541,0.534
1995,0.523,0.518,0.511,0.515,0.518,0.518,0.519,0.526,0.523,0.535,0.535,0.553
1996,0.552,0.552,0.556,0.538,0.548,0.537,0.537,0.541,0.540,0.555,0.552,0.546
1997,0.560,0.565,0.564,0.558,0.563,0.558,0.564,0.569,0.564,0.568,0.572,0.575
1998,0.546,0.547,0.545,0.544,0.541,0.536,0.540,0.536,0.544,0.542,0.539,0.543
1999,0.551,0.540,0.544,0.548,0.551,0.553,0.550,0.557,0.547,0.511,0.488,0.502
2000,0.499,0.492,0.481,0.490,,,,,,,,
2002,,,,,0.472,0.470,0.475,0.482,0.471,0.466,0.461,0.458
2003,0.441,0.447,0.440,0.440,0.429,0.428,0.451,0.454,0.461,0.463,0.490,0.482
2004,0.482,0.487,0.504,0.503,0.528,0.538,0.560,0.556,0.565,0.569,0.572,0.572
2005,0.597,0.575,0.570,0.584,0.552,0.547,0.553,0.532,0.544,0.541,0.530,0.524
2006,0.532,0.534,0.534,0.538,0.549,0.549,0.561,0.565,0.550,0.568,0.555,0.555
2007,0.563,0.554,0.548,0.556,0.544,0.529,0.547,0.551,0.546,0.555,0.544,0.551
2008,0.568,0.583,0.584,0.608,0.704,0.753,0.795,0.854,0.853,0.856,0.820,0.813
2009,0.797,0.783,0.774,0.757,0.773,0.766,0.756,0.752,0.760,0.751,0.768,0.751
2010,0.754,0.759,0.764,0.759,0.746,0.739,0.749,0.743,0.723,0.714,0.710,0.728
2011,0.742,0.747,0.745,0.734,0.767,0.755,0.716,0.715,0.719,0.767,0.752,0.729
2012,0.739,0.718,0.700,0.696,0.677,0.681,0.681,0.683,0.684,0.685,0.704,0.714
2013,0.715,0.708,0.714,0.724,0.702,0.723,0.721,0.737,0.741,0.734,0.729,0.735
2014,0.731,0.732,0.733,0.750,0.739,0.742,0.758,0.737,0.746,0.723,0.717,0.700
2015,0.692,0.689,0.670,0.670,0.676,0.691,0.673,0.669,0.662,0.690,0.732,0.711
2016,0.709,0.707,0.711,0.703,0.747,0.734,0.740,0.729,0.721,0.697,0.703,0.693
2017,0.700,0.695,0.692,0.686,0.726,0.752,0.764,0.753,0.741,0.723,0.712,0.711
2018,0.682,0.691,0.682,0.685,0.698,0.689,0.690,0.705,0.693,0.685,0.711,0.712
2019,0.730,0.762,0.757,0.767,0.761,0.801,0.798,0.793,0.797,0.773,0.721,0.714
2020,0.716,0.734,0.733,,0.748,0.749,0.772,0.769,0.777,0.766,0.791,0.789
2021,0.794,0.779,0.772,0.785,0.801,0.778,0.782,0.784,0.798,0.788,0.844,0.820
2022,0.832,0.830,0.871,0.900,0.909,0.924,0.929,0.925,0.939,0.963,0.963,0.971
2023,0.970,0.959,0.982,0.980,0.997,1.003,1.006,,,,,
