"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2020","19.8710","20.1825","20.6625","19.6902","","-1.46%"
"11/01/2020","20.1660","21.2440","21.9950","19.9272","","-4.75%"
"10/01/2020","21.1710","22.1065","22.1400","20.8244","","-4.20%"
"09/01/2020","22.0990","21.8915","22.7016","20.8382","","1.01%"
"08/01/2020","21.8785","22.2644","22.9225","21.7404","","-1.76%"
"07/01/2020","22.2714","22.9987","23.0932","21.8384","","-3.12%"
"06/01/2020","22.9889","22.2801","23.2305","21.4601","","3.71%"
"05/01/2020","22.1675","24.1750","24.8897","21.9972","","-8.21%"
"04/01/2020","24.1510","23.7190","25.7573","23.2525","","1.84%"
"03/01/2020","23.7140","19.8645","25.4480","19.1551","","20.92%"
"02/01/2020","19.6110","18.8550","19.9025","18.5220","","4.12%"
"01/01/2020","18.8353","18.9325","19.0365","18.6444","","-0.47%"
"12/01/2019","18.9250","19.5270","19.6305","18.7995","","-3.26%"
"11/01/2019","19.5620","19.2345","19.6619","19.0460","","1.74%"
"10/01/2019","19.2280","19.7325","19.8654","19.0144","","-2.53%"
"09/01/2019","19.7275","20.0630","20.1690","19.3194","","-1.65%"
"08/01/2019","20.0575","19.1340","20.2610","19.1133","","4.87%"
"07/01/2019","19.1265","19.1915","19.3465","18.8613","","-0.47%"
"06/01/2019","19.2162","19.6027","19.8818","18.8909","","-2.02%"
"05/01/2019","19.6120","18.9477","19.8333","18.7886","","3.55%"
"04/01/2019","18.9402","19.3730","19.3869","18.7459","","-2.48%"
"03/01/2019","19.4215","19.2825","19.6262","18.7464","","0.75%"
"02/01/2019","19.2775","19.1065","19.4761","19.0154","","0.90%"
"01/01/2019","19.1058","19.6513","19.7241","18.8754","","-2.72%"
"12/01/2018","19.6403","20.4053","20.6623","19.6048","","-3.71%"
"11/01/2018","20.3960","20.3398","20.6395","19.5739","","0.33%"
"10/01/2018","20.3295","18.7184","20.4750","18.4989","","8.67%"
"09/01/2018","18.7080","19.0850","19.6893","18.6670","","-1.95%"
"08/01/2018","19.0800","18.6480","19.3768","18.4023","","2.34%"
"07/01/2018","18.6430","19.8050","20.2031","18.4958","","-6.36%"
"06/01/2018","19.9090","19.9090","20.9647","19.5610","","0.01%"
"05/01/2018","19.9080","18.7140","20.0555","18.6940","","6.39%"
"04/01/2018","18.7125","18.1878","19.1467","17.9355","","3.10%"
